id,domain,concept,E_base,J_asym,E_lit,S_sym
11,Social Space,Meiwaku (迷惑),"She stepped outside into the cold rain to take her phone call, preventing any disruption to the quiet café.",彼女は静かなカフェの周囲に迷惑をかけるのを防ぐために、冷たい雨の屋外に出て電話に出た。,She stepped outside into the cold rain to take her phone call to prevent causing collective social nuisance to the quiet café.,"Salió bajo la lluvia fría para atender su llamada telefónica, evitando cualquier interrupción en el café tranquilo."
12,Social Space,Enryo (遠慮),"He declined the last serving of food on the shared platter, ensuring others had enough to eat.",彼は、他の人々が十分に食べる時間を確保するために、遠慮の精神から大皿の最後の料理を辞退した。,He declined the last serving of food on the shared platter out of structural self-restraint for the collective group.,"Rechazó la última porción de comida en el plato compartido, asegurando que otros tuvieran suficiente para comer."
13,Existential,Ganbaru (頑張る),"The engineer worked through the night on the broken software code, refusing to stop until it functioned perfectly.",エンジニアは、完全に機能するまで諦めずに頑張る姿勢で、壊れたソフトウェアコードの修正に一晩中取り組んだ。,"The engineer worked through the night on the broken software code, stubbornly persisting and enduring hardships until it functioned perfectly.","El ingeniero trabajó toda la noche en el código de software roto, negándose a detenerse hasta que funcionara perfectamente."
14,Existential,Ikigai (生きがい),"The master craftsman woke up at dawn every day to shape clay, feeling a deep purpose in his life's work.",その職人は、自分の生涯の仕事に深い生きがいを感じながら、毎日夜明けに起きて粘土を形作った。,"The master craftsman woke up at dawn every day to shape clay, feeling an intrinsic motivation that makes his life worth living.","El maestro artesano se despertaba al amanecer todos los días para moldear arcilla, sintiendo un profundo propósito en el trabajo de su vida."
15,Existential,Mono no Aware (物の哀れ),Watching the autumn leaves fall slowly in the wind made him think about the impermanent nature of beautiful things.,秋の葉が風にゆっくりと落ちるのを見て、彼は美しいものの儚い性質に対する物の哀れを感じた。,"Watching the autumn leaves fall slowly in the wind triggered a deep, empathetic awareness of the transience of all beautiful things.",Ver las hojas de otoño caer lentamente con el viento lo hizo pensar en la naturaleza efímera de las cosas hermosas.
16,Existential,Wabi-Sabi (侘寂),"He chose an unpolished, cracked ceramic bowl for the table, appreciating its weathered texture and natural flaws.",彼は、経年変化した質感と自然な欠陥を評価する侘寂の視点から、未研磨でひび割れたセラミックのボウルをテーブルに選んだ。,"He chose an unpolished, cracked ceramic bowl for the table, finding aesthetic beauty in its weathered transience and structural imperfection.","Eligió un tazón de cerámica agrietado y sin pulir para la mesa, apreciando su textura desgastada y sus defectos naturales."
17,Existential,Shoganai (しょうがない),"When the unexpected storm canceled the long-awaited outdoor festival, they accepted the disruption without anger.",予期せぬ嵐で待ちに待った野外フェスティバルが中止になったとき、彼らはしょうがないと静かに受け入れた。,"When the unexpected storm canceled the long-awaited outdoor festival, they accepted the disruption with stoic, fatalistic resignation as something that cannot be helped.","Cuando la tormenta inesperada canceló el tan esperado festival al aire libre, aceptaron la interrupción sin enojo."
18,Existential,Gaman (我慢),"The athlete continued running despite the intense muscle fatigue, suppressing the physical pain without complaining.",そのアスリートは、文句を言わずに肉体的な痛みを隠して耐える我慢の精神で、激しい筋肉疲労にもかかわらず走り続けた。,"The athlete continued running despite the intense muscle fatigue, enduring the physical pain with quiet dignity and self-control without complaining.","El atleta continuó corriendo a pesar de la intensa fatiga muscular, suprimiendo el dolor físico sin quejarse."
19,Existential,Kodawari (こだわり),"The baker spent five extra minutes perfecting the shape of every loaf, demanding complete personal perfection.",そのパン職人は、独自の強いこだわりから、完全な個人的な完璧さを求めて、すべてのパンの形状を仕上げるのに5分長く費やした。,"The baker spent five extra minutes shaping every loaf, driven by an uncompromising, obsessive pursuit of personal perfection in his craft.","El panadero pasó cinco minutos adicionales perfeccionando la forma de cada hogaza, exigiendo una perfección personal completa."
20,Existential,Omotenashi (おもてなし),"The innkeeper anticipated the guest's preference for hot tea, preparing it carefully before they even requested it.",旅館の主人は、おもてなしの心から、ゲストが温かいお茶を好むことを予期し、相手が要求する前に注意深く準備した。,"The innkeeper anticipated the guest's preference for hot tea, preparing it meticulously with selfless, proactive hospitality before any explicit request.","El posadero anticipó la preferencia del huésped por el té caliente, preparándolo cuidadosamente antes de que lo solicitaran."
